id,name,description,details
SYM-069,Versioning and compatibility are understood,"The system handles evolving contracts, clients, data shapes, and deployment skew with intention.","Compatibility is a long-lived design concern in APIs, events, data formats, and deployments. Review should consider how a change behaves when old and new producers or consumers coexist. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'Versioning and compatibility are understood' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-070,Delivery mechanics and quality support the intended architecture,"Build and delivery behavior is reproducible, quality gates check meaningful risks, and tooling reinforces the architectural shape instead of undermining it.","Code quality does not end at source files. The surrounding delivery mechanics and tooling either reinforce maintainable design or quietly erode it. Reproducible build and delivery, meaningful quality gates, and tooling that supports the intended architecture belong together because they determine whether the wider development system protects the same qualities the code review is trying to preserve.

Strong signs include builds that do not depend on hidden machine-local state, automated checks that catch failures the team actually cares about, and tooling or templates that make the preferred architectural path easier than the harmful one. Weak signs include fragile build steps that only work in one shell, gates that optimize for cosmetic compliance over real risk, and tooling that nudges contributors into bypassing boundaries, copying patterns blindly, or fighting the intended module structure.

This symptom matters because maintainability is shaped by repeated daily pressure. If the toolchain rewards the wrong behavior, the architecture will drift no matter how good individual reviews are. Review this lens by asking whether the change improves or degrades the surrounding mechanics that keep code healthy, reproducible, and aligned with the system's intended design."
SYM-071,The codebase is easy to navigate and hard to misuse,"Repository shape, API design, and local structure help contributors find the right place to work, guide them toward correct usage, and make incorrect usage conspicuous or difficult.","A maintainable system should help engineers do the right thing by default. Cheap navigation, misuse-resistant design, and ease of correct use belong together because they describe whether the codebase teaches safe participation. A reader should be able to locate responsibility quickly, understand the intended path through an API or module, and notice when a usage pattern is likely wrong.

Strong signs include repository and module layouts that make likely locations easy to predict, interfaces whose shape guides callers toward valid combinations and sequences, defaults that are safe, and types or contracts that make misuse visible. Weak signs include sprawling structures where responsibility is hard to find, APIs that expose many invalid states or surprising combinations, and ""correct"" usage that requires oral tradition while the easy path does something risky or misleading.

This symptom matters because a large share of maintenance cost comes from accidental misuse and search friction, not just defects in core logic. Review this lens by asking whether the change helps the next contributor orient quickly and follow the intended path safely, or whether it adds more ways to get lost, call the wrong thing, or violate an assumption without noticing."
SYM-072,The system is easy to reason about under change,"When requirements evolve, it is obvious where to look, what to protect, and what else might be affected.","Maintainability is tested most when requirements change. Good structure helps reviewers infer where else a change may matter and which invariants are likely to be at risk. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'The system is easy to reason about under change' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-073,Long-term cost is visible in local choices,Local shortcuts that create systemic maintenance debt are either rejected or explicitly acknowledged.,"Long-term cost awareness asks whether a local shortcut creates future ambiguity, coupling, or drift. Good review does not reject every shortcut, but it should make systemic cost visible and deliberate. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'Long-term cost is visible in local choices' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-074,The system behaves like one coherent product,"From function semantics up to architecture, the whole system expresses a unified set of rules, patterns, and expectations rather than conflicting local micro-cultures.","Coherence means the system feels like one thing built according to one set of principles. From local functions to top-level architecture, patterns, error behavior, naming, and boundaries reinforce one another instead of competing. In review, this is about whether the system can survive evolution, skew, retries, failures, and operational reality without losing coherence. Strong signals are deliberate recovery stories, compatibility-aware boundaries, reproducible delivery, navigable structure, and interfaces that make correct use easier than misuse. Weak signals are brittle migrations, unexamined version skew, hidden build assumptions, and local shortcuts that quietly increase long-term coupling. The educational point is that maintainability is proven over time, especially when the system is under stress or in transition. For this specific symptom, the reviewer should ask whether the change makes 'The system behaves like one coherent product' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-075,Tests sit at the right level,"Behavior is verified at the cheapest test layer that can provide trustworthy evidence, rather than pushed unnecessarily into broad slow tests.","Good test suites use each layer for the kind of risk it is best suited to reduce.
Unit tests should carry small deterministic behavior checks, integration tests should prove real boundaries and wiring, end-to-end tests should protect critical journeys, and smoke tests should decide whether a build or environment is healthy enough to continue.
Strong signs include business rules covered close to the logic, infrastructure assumptions covered at integration boundaries, only high-value journeys covered end to end, and smoke checks that stay broad and shallow.
Weak signs include exhaustive UI tests for logic that could be covered cheaply, unit tests that fake away the boundary they claim to verify, broad tests used because lower-level seams are missing, and test suites whose cost grows faster than the confidence they provide.
This symptom matters because misplaced tests create either false confidence or excessive maintenance cost.
Review should ask whether the test proves the intended risk at the narrowest reliable layer."
SYM-076,Unit tests avoid physical I/O,"Unit tests verify focused behavior without touching the real filesystem, network, database, clock, or other physical/environmental resources unless that resource is the behavior under test.","A good unit test gives precise evidence about a small piece of behavior while staying fast, deterministic, and isolated.
Filesystem access should normally be abstracted behind an interface, adapter, fake, in-memory filesystem, or mock so the unit can be tested without physical I/O.
Physical filesystem access, including OS temporary files or directories, is acceptable only when the unit's behavior genuinely depends on filesystem semantics that a mock would hide, such as permissions, path handling, locking, atomic writes, symlink behavior, or real encoding and newline behavior.
Strong signs include one clear behavior per test, direct assertions about outputs or visible effects, explicit edge cases, simple setup, mocked or in-memory file access, injected clocks and randomness, and no dependency on prior test execution.
Weak signs include casual use of tmpfiles for convenience, tests that read or write ambient paths, global state leaks, real network or database access, excessive mock choreography, assertions that duplicate implementation logic, and tests of private implementation detail.
This symptom matters because unit tests should be cheap, deterministic, and safe to run constantly.
Review should ask whether any physical I/O in the unit test is essential to the behavior being proven, or whether it should be mocked, faked, or moved to an integration test."
SYM-077,Integration tests verify real boundaries,"Integration tests exercise the real seams where components, adapters, schemas, infrastructure, or configuration meet.","Integration tests should prove that separately reasonable parts still work when connected.
They are most valuable at boundaries where unit tests cannot reveal reality: persistence, migrations, serialization, queues, HTTP contracts, auth middleware, file systems, configuration, and external adapters.
Strong signs include realistic dependencies where dependency behavior matters, owned test data, disposable or isolated infrastructure, clear setup and teardown, and assertions that catch wiring, contract, or infrastructure mistakes.
Weak signs include fake integrations that cannot catch the real class of defect, shared databases with mysterious state, tests that require manual environment preparation, and broad failure surfaces that make diagnosis guesswork.
This symptom matters because many production failures happen at seams rather than inside isolated logic.
Review should ask whether the integration test exercises the boundary honestly and fails with evidence that points toward the broken seam."
SYM-078,End-to-end tests protect critical journeys,"End-to-end tests cover a small number of high-value user or system journeys through the deployed shape of the application.","End-to-end tests are expensive evidence and should be spent on flows that matter.
They should prove that critical journeys work across the system, not exhaustively retest every validation branch or internal rule through the slowest path.
Strong signs include stable user-visible selectors, independent test data, controlled external dependencies, minimal unrelated setup through the UI, and useful artifacts such as traces, screenshots, logs, or correlation identifiers when failures occur.
Weak signs include arbitrary sleeps, CSS-selector fragility, global shared accounts, ordering dependence between tests, uncontrolled third-party calls, and large UI suites that duplicate lower-level coverage.
This symptom matters because brittle end-to-end suites train teams to rerun instead of investigate.
Review should ask whether each end-to-end test protects a critical journey that is worth its cost."
SYM-079,"Smoke tests are broad, shallow, and release-gating","Smoke tests quickly determine whether a build, deployment, or environment is healthy enough for deeper testing or use.","Smoke tests are not regression suites.
They should answer whether the application starts, is reachable, is configured well enough to perform its core role, and has not obviously broken its most critical path.
Strong signs include fast checks after deployment, basic reachability, real readiness rather than superficial liveness, core dependency connectivity, safe idempotent behavior, and failure that stops more expensive pipeline stages.
Weak signs include smoke suites that take so long they become miniature regression suites, checks that only prove a process is alive while the product is unusable, tests that mutate shared state unsafely, and smoke results that are ignored by delivery.
This symptom matters because smoke tests are the pipeline's early warning system.
Review should ask whether the smoke suite is small enough to trust and meaningful enough to block waste."
SYM-080,Test data is owned and isolated,"Tests create, control, and clean up the data and state they depend on rather than relying on accidental shared conditions.","Trustworthy tests own their preconditions.
A test should not pass because a developer's machine, a shared staging database, a previous test, or a long-lived account happens to contain the expected state.
Strong signs include explicit data creation, isolated schemas or namespaces, disposable containers or fixtures, unique identifiers, rollback or cleanup, and tests that can run repeatedly or in parallel without collision.
Weak signs include dependence on magic records, shared mutable accounts, hidden ordering requirements, manual preloading, tests that only work on one machine, and data left behind that changes later outcomes.
This symptom matters because uncontrolled test data is one of the fastest ways for useful automation to become flaky noise.
Review should ask whether the test can prove the same thing from a clean starting point."
SYM-081,External dependencies are controlled in tests,"Tests bound or replace nondeterministic third-party systems so failures reflect product behavior rather than outside instability.","External systems introduce instability, cost, latency, and failure modes that may not belong in ordinary test feedback.
Payment providers, email systems, identity providers, analytics, remote APIs, clocks, random generators, and network services should be real only when the test is explicitly proving that integration.
Strong signs include sandboxed integrations, contract tests, fakes that preserve meaningful semantics, injected clocks or randomness, network boundaries that are deliberate, and clear separation between ordinary CI tests and tests that depend on live services.
Weak signs include uncontrolled calls to third-party systems, tests that fail because someone else's service was slow, real emails or payments sent by automation, and mocks that are so fake they remove the risk being tested.
This symptom matters because a test suite should identify defects, not outsource its signal to environmental luck.
Review should ask whether every external dependency in the test is either controlled or intentionally under test."
SYM-082,Test failures are diagnosable,"When tests fail, the output gives enough context to understand the broken behavior without guesswork or habitual reruns.","A good test failure should point toward the violated behavior and the scenario that produced it.
The more moving parts a test has, the more important its failure evidence becomes.
Strong signs include clear test names, specific assertions, useful assertion messages, captured logs or traces where appropriate, visible request and response details at boundaries, and artifacts for end-to-end failures.
Weak signs include vague failures such as expected true to be false, swallowed setup errors, enormous undifferentiated logs, missing screenshots or traces for UI failures, and failure messages that force the reviewer to reproduce locally before understanding anything.
This symptom matters because undiagnosable failures turn automated tests into delay rather than evidence.
Review should ask whether a failing test would help the next engineer find the likely cause."
SYM-083,Test scope matches test name and intent,"The name, setup, action, and assertions of a test all describe the same behavior at the same level of abstraction.","A test should tell one coherent story.
Its name should describe the condition and expected behavior, its setup should create only the relevant scenario, its action should exercise the behavior under review, and its assertions should check the promised outcome.
Strong signs include names that read like behavior specifications, setup that does not introduce unrelated facts, one primary reason for failure, and assertions aligned with the stated purpose.
Weak signs include vague names, tests that assert several unrelated outcomes, setup that hides the important condition, names that claim business behavior while assertions check implementation detail, and broad tests whose real purpose is impossible to summarize.
This symptom matters because unclear test intent makes review weaker and maintenance more dangerous.
Review should ask whether the test would still make sense if read as documentation of the protected behavior."
SYM-084,Unit tests mock physical boundaries,"Unit tests avoid real filesystem, network, database, clock, process, and environment access unless the physical boundary itself is the behavior under test.","Unit tests should keep physical I/O out of the feedback loop by default.
The preferred shape is to isolate the unit from operating system and infrastructure boundaries through interfaces, adapters, mocks, fakes, or in-memory substitutes.
Strong signs include mocked filesystem clients, in-memory repositories, injected environment readers, injected clocks, explicit fake process runners, and tests that can run in parallel without touching shared physical state.
Weak signs include casual OS tmpfile usage, real path assumptions, real environment variable dependence, real subprocess calls, real sockets, real databases, sleeps, and tests that fail because of machine state rather than product behavior.
Physical I/O is acceptable only when the test is explicitly proving filesystem, OS, process, or infrastructure semantics that cannot be represented faithfully by a fake.
This symptom matters because unit tests should provide immediate behavior feedback without environmental cost or flakiness.
Review should ask whether the physical boundary is genuinely the subject of the test. If not, the boundary should be mocked or the test should be reclassified as integration."

